train_arc_acc,train_lab_acc
0.008605768904089928,0.06850961595773697
0.2906250059604645,0.12805061042308807
0.3009868562221527,0.2582237124443054
0.31346726417541504,0.36517858505249023
0.40430718660354614,0.46100735664367676
0.45454543828964233,0.5042613744735718
0.5208854079246521,0.5774999856948853
0.5459200143814087,0.6340768337249756
0.6166126132011414,0.7040043473243713
0.6774671077728271,0.7223683595657349
0.5657252073287964,0.7155751585960388
0.6636396050453186,0.7470173835754395
0.8176224231719971,0.7867445945739746
0.831250011920929,0.8041666746139526
0.8850446343421936,0.804315447807312
0.7575901746749878,0.7922439575195312
0.9206755757331848,0.8213068246841431
0.8956043720245361,0.8507325649261475
0.835364580154419,0.8457291722297668
0.8843749761581421,0.8796131014823914
0.812320351600647,0.8483117818832397
0.9398561716079712,0.8697296380996704
0.9374380111694336,0.9217510223388672
0.8411058187484741,0.8603364825248718
0.9566761255264282,0.9358428716659546
0.824414074420929,0.8843287229537964
0.8740625381469727,0.87911456823349
